City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,polyarnyy,69.1989,33.4478,12.54,63,88,12.0,RU,1724791596
131,arraial do cabo,-22.9661,-42.0278,19.92,64,0,4.12,BR,1724791597
132,hamilton,39.1834,-84.5333,37.33,38,0,4.12,US,1724791424
133,kidal,18.4411,1.4078,35.25,38,100,8.75,ML,1724791600
134,kingston,17.997,-76.7936,28.53,79,20,6.17,JM,1724791336
135,posse,-14.0931,-46.3694,28.58,23,5,2.22,BR,1724791602
136,usogorsk,63.4106,48.6872,13.13,68,97,2.27,RU,1724791604
137,praia da vitoria,38.7333,-27.0667,25.14,65,20,3.51,PT,1724791605
138,hatton,6.8916,80.5955,17.51,80,100,0.75,LK,1724791606
139,nemuro,43.3236,145.575,17.94,100,100,2.71,JP,1724791608
140,sampit,-2.5333,112.95,23.13,98,97,0.89,ID,1724791609
141,sittwe,20.15,92.9,25.9,90,99,3.83,MM,1724791610
142,puerto ayora,-0.7393,-90.3518,20.31,91,71,2.68,EC,1724791612
143,northam,51.0333,-4.2167,16.45,92,100,4.54,GB,1724791613
144,jinchang,38.4953,102.1739,20.46,69,17,0.48,CN,1724791615
145,vorgashor,67.5833,63.95,12.35,73,64,3.57,RU,1724791616
146,rabo de peixe,37.8,-25.5833,22.73,68,20,3.6,PT,1724791617
147,katsuura,35.1333,140.3,26.77,85,80,5.88,JP,1724791619
148,hailin,44.5833,129.4167,14.53,96,2,0.88,CN,1724791620
149,palmer,42.1584,-72.3287,29.06,53,40,2.06,US,1724791622
150,natal,-5.795,-35.2094,26.36,73,75,6.69,BR,1724791399
151,remire-montjoly,4.9167,-52.2667,25.02,94,75,2.57,GF,1724791624
152,midvagur,62.0511,-7.1939,11.46,93,100,5.14,FO,1724791626
153,sydney mines,46.2367,-60.2177,24.36,67,75,3.13,CA,1724791627
154,pervomayskoye,43.919,46.7102,21.4,72,21,4.82,RU,1724791629
155,tiksi,71.6872,128.8694,2.42,84,97,3.11,RU,1724791630
156,youhao,47.8667,128.8333,13.68,96,51,0.86,CN,1724791631
157,ylistaro,62.9396,22.5131,11.98,91,62,0.45,FI,1724791633
158,tura,25.5198,90.2201,23.8,93,22,1.24,IN,1724791634
